Reg,Callsign,Country,Make,Model
VH-KSI,HELITAK 349,Australia,EUROCOPTER,AS 332 L1
VH-UHR,HELITAK 513,Australia,"PICKERING AVIATION, INC.",UH-60A
VH-86L,HELITAK 514,Australia,"PICKERING AVIATION, INC.",UH-60L
VH-UHG,HELITAK 515,Australia,"PICKERING AVIATION, INC.",UH-60A
VH-UHS,HELITAK 516,Australia,"PICKERING AVIATION, INC.",UH-60A
VH-8UL,HELITAK 517,Australia,"PICKERING AVIATION, INC.",UH-60L
VH-8HL,HELITAK 518,Australia,"PICKERING AVIATION, INC.",UH-60L
VH-L6H,HELITAK 519,Australia,"PICKERING AVIATION, INC.",UH-60L
VH-8UH,HELITAK 520,Australia,"PICKERING AVIATION, INC.",UH-60A
