Reg,Callsign,Country,Make,Model
VH-VLU,FIREBIRD 505,Australia,EUROCOPTER,AS 350 B2
VH-UAK,FIREBIRD 506,Australia,EUROCOPTER,AS 350 B3
VH-HQO,FIREBIRD 508,Australia,EUROCOPTER,AS 350 BA
VH-SGK,FIREBIRD 509,Australia,AEROSPATIALE INDUSTRIES,AS.350BA
VH-FMF,FIREBIRD 510,Australia,EUROCOPTER FRANCE,AS.350BA
VH-SHD,FIREBIRD 511,Australia,EUROCOPTER,AS.350B2
VH-UVA,FIREBIRD 512,Australia,AEROSPATIALE INDUSTRIES,AS.350BA
VH-XIP,FIREBIRD 517,Australia,EUROCOPTER,AS 350 BA
VH-LVM,FIREBIRD 600,Australia,EUROCOPTER,AS 350 B2
VH-YUQ,FIREBIRD 623,Australia,AEROSPATIALE INDUSTRIES,AS.355F1
VH-FBQ,FIREBIRD 626,Australia,AEROSPATIALE INDUSTRIES,AS.350B2
VH-8SJ,FIREBIRD 664,Australia,EUROCOPTER,AS 350 B3
VH-8XX,FIREBIRD 700,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-HRD,FIREBIRD 701,Australia,AEROSPATIALE INDUSTRIES,AS.350B2
VH-UUF,FIREBIRD 704,Australia,EUROCOPTER,AS.350B3
VH-SRN,FIREBIRD 712,Australia,BELL HELICOPTER CO,206B
VH-ZAT,FIREBIRD 715,Australia,AIRBUS HELICOPTERS,AS 350 B3
VH-DKT,FIREBIRD 717,Australia,AIRBUS HELICOPTERS,AS 350 B2
VH-ZST,FIREBIRD 719,Australia,AIRBUS HELICOPTERS,AS 350 B2
VH-NFL,FIREBIRD 721,Australia,EUROCOPTER,AS 350 B3
VH-UUH,FIREBIRD 725,Australia,EUROCOPTER,AS.350B3
VH-UUG,FIREBIRD 726,Australia,EUROCOPTER,AS.350B3
VH-ZDT,FIREBIRD 728,Australia,BELL HELICOPTER CO,206B
VH-UUI,FIREBIRD 729,Australia,EUROCOPTER,AS.350B3
VH-SRB,FIREBIRD 732,Australia,AEROSPATIALE INDUSTRIES,AS.350B2
VH-ULT,FIREBIRD 734,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-UWT,FIREBIRD 735,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-ZGT,FIREBIRD 745,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-NDY,FIREBIRD 807,Australia,BELL HELICOPTER CO,206B
VH-UHL,FIREBIRD 831,Australia,EUROCOPTER,AS 350 B3
VH-ZUY,FIREBIRD 832,Australia,BELL HELICOPTER TEXTRON,206L-3
VH-UCL,FIREBIRD 833,Australia,EUROCOPTER,AS 350 B2
VH-SWH,FIREBIRD 837,Australia,EUROCOPTER,AS 350 BA
VH-MHW,FIREBIRD 856,Australia,AIRBUS HELICOPTERS,AS 350 B2
VH-JRU,FIREBIRD 870,Australia,EUROCOPTER,AS350B2
VH-X6I,HELITAK 752,Australia,AGUSTA AEROSPACE CORPORATION,A119
VH-VJB,LIFESAVER 30,Australia,EUROCOPTER DEUTSCHLAND GMBH,EC135 P2+
VH-XXR,LIFESAVER 31,Australia,EUROCOPTER,EC120B
VH-NPX,PARKAIR 1,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-NPD,PARKAIR 2,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-WDS,PARKAIR 3,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-XXU,PARKAIR 30,Australia,EUROCOPTER FRANCE,AS.350B3
VH-UAH,PARKAIR 4,Australia,AIRBUS HELICOPTERS,AS 350 B3E
VH-ZHG,PARKAIR 5,Australia,AIRBUS HELICOPTERS,AS 350 B3E
