Reg,Callsign,Country,Make,Model
ZK-FDN,FDN-(F/W) AIR AMB,New Zealand,BEECH AIRCRAFT CORP,C90
ZK-FDR,FDR-(F/W) AIR AMB,New Zealand,BEECH AIRCRAFT CORP,200C
ZK-FDS,FDS-(F/W) AIR AMB,New Zealand,BEECH AIRCRAFT CORP,200C
ZK-JCJ,JCJ-(F/W) JET,New Zealand,BOMBARDIER INC,CL-600-2B16
ZK-NFD,NFD-(F/W) AIR AMB,New Zealand,CESSNA AIRCRAFT COMPANY,441
ZK-NPR,NPR-(F/W 31)PAX,New Zealand,PIPER AIRCRAFT CORP,PA-31
