Reg,Callsign,Country,Make,Model
ZK-IEQ,IEQ-(FX2),New Zealand,AEROSPATIALE INDUSTRIES,AS350 FX2
ZK-IER,IER-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-IET,IET-(520N),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N
ZK-IEV,IEV-(FX2),New Zealand,AEROSPATIALE INDUSTRIES,AS350 FX2
ZK-IEY,IEY-(FX2),New Zealand,AEROSPATIALE INDUSTRIES,AS350 FX2
ZK-IFI,IFI-(B2),New Zealand,EUROCOPTER,AS 350 B2
ZK-IFS,IFS-(500),New Zealand,HUGHES HELICOPTERS,369E
ZK-IFX,IFX-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-IGF,IGF-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-IGO,IGO-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-IGT,IGT-(JR),New Zealand,BELL HELICOPTER CO,206B (III)
ZK-IGW,IGW-(EC130),New Zealand,EUROCOPTER,EC 130 B4
ZK-IGY,IGY-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
ZK-IHH,IHH-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-IHL,IHL-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-IHO,IHO-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-IHQ,IHQ-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-IIE,IIE-(500),New Zealand,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E
ZK-IIK,IIK-(JR),New Zealand,BELL HELICOPTER CO,206B
ZK-IJD,IJD-(600N),New Zealand,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,600N
ZK-IJG,IJG-(BA),New Zealand,EUROCOPTER,AS 350 BA
ZK-IJH,IJH-(LR),New Zealand,BELL HELICOPTER CO,206L-3
ZK-IJW,IJW-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
ZK-IKA,IKA-(B3),New Zealand,EUROCOPTER,AS 350 B3
ZK-IKL,IKL-(500),New Zealand,HUGHES HELICOPTERS,369D
ZK-IKW,IKW-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-ILA,ILA-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-ILF,ILF_(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-ILL,ILL-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-ILM,ILM-(LR),New Zealand,BELL HELICOPTER CO,206L-3
ZK-ILN,ILN-(B2),New Zealand,AIRBUS HELICOPTERS,AS 350 B2
ZK-ILO,ILO-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3E
ZK-ILT,ILT-(B3),New Zealand,AIRBUS HELICOPTERS,AS 350 B3
