Reg,Callsign,Country,Make,Model
VH-8SM,BOMBER 593,Australia,AIR TRACTOR INC,AT-802A
VH-ODH,BOMBER 594,Australia,AIR TRACTOR INC,AT-802
VH-OUM,BOMBER 595,Australia,AIR TRACTOR INC,AT-802A
VH-8MP,BOMBER 597,Australia,AIR TRACTOR INC,AT-802
VH-ODP,BOMBER 598,Australia,AIR TRACTOR INC,AT-802A
VH-DUQ,BOMBER 601,Australia,AIR TRACTOR INC,AT-802
VH-FGO,BOMBER 602,Australia,AIR TRACTOR INC,AT-802A
VH-PEK,BOMBER 603,Australia,"AIR TRACTOR, INC.",AT-802A
VH-DUN,BOMBER 604,Australia,AIR TRACTOR INC,AT-802A
VH-FED,BOMBER 605,Australia,"AIR TRACTOR, INC.",AT-802
VH-FCO,BOMBER 606,Australia,AIR TRACTOR INC,AT-802A
VH-DUJ,BOMBER 607,Australia,AIR TRACTOR INC,AT-802
VH-DUA,BOMBER 608,Australia,AIR TRACTOR INC,AT-802
VH-JID,BOMBER 610,Australia,AIR TRACTOR INC,AT-802
VH-RIM,BOMBER 611,Australia,"AIR TRACTOR, INC.",AT-802A
VH-NID,BOMBER 612,Australia,AIR TRACTOR INC,AT-802A
VH-8DA,BOMBER 614,Australia,"AIR TRACTOR, INC.",AT-802A
VH-IWU,BOMBER 716,Australia,AIR TRACTOR INC,AT-802A
VH-NWU,BOMBER 717,Australia,AIR TRACTOR INC,AT-802A
VH-AWU,BOMBER 718,Australia,AIR TRACTOR INC,AT-802
VH-DUW,BOMBER 733,Australia,AIR TRACTOR INC,AT-802A
VH-8PM,BOMBER 751,Australia,"AIR TRACTOR, INC.",AT-802
VH-AKZ,BOMBER 799,Australia,"AIR TRACTOR, INC.",AT-802A
VH-CKS,BOMBER 833,Australia,"AIR TRACTOR, INC.",AT-802A
VH-WHY,BOMBER 853,Australia,"AIR TRACTOR, INC.",AT-802A
VH-FZO,BOMBER 858,Australia,AIR TRACTOR INC,AT-802
VH-ZBI,BOMBER 883,Australia,AIR TRACTOR INC,AT-802
VH-ODQ,BOMBER 885,Australia,AIR TRACTOR INC,AT-802
VH1234,VH-TEST2,Australia,AIR TRACTOR INC,AT-802A
VH124,VH-TEST6,Australia,AIR TRACTOR INC,AT-502B
