Reg,Operator / Agency,Type,Model
VH-TJE,NSWAS TOLL,Rotary-Wing Aircraft,AW139
VH-TJF,NSWAS TOLL,Rotary-Wing Aircraft,AW139
VH-TJG,NSWAS TOLL,Rotary-Wing Aircraft,AW139
VH-TJI,NSWAS TOLL,Rotary-Wing Aircraft,AW139
VH-TJJ,NSWAS TOLL,Rotary-Wing Aircraft,AW139
VH-TJO,NSWAS TOLL,Rotary-Wing Aircraft,AW139
