Reg,Callsign,Country,Make,Model
N561CG,BIRDDOG 100,United States,CESSNA AIRCRAFT COMPANY,560
N550CG,FIRESCAN 207,United States,CESSNA AIRCRAFT COMPANY,550
N552CG,FIRESCAN 208,United States,CESSNA AIRCRAFT COMPANY,550
