Reg,Callsign,Country,Make,Model
VH-RKI,FIREBIRD 251,Australia,CESSNA AIRCRAFT COMPANY,421C
VH-LAB,FIRESCAN 125,Australia,BEECH AIRCRAFT CORP,B200T
VH-ZMP,FIRESCAN 126,Australia,BEECH AIRCRAFT CORP,200
VH-VJT,FIRESCAN 200,Australia,CESSNA AIRCRAFT COMPANY,560
VH-VJO,FIRESCAN 201,Australia,CESSNA AIRCRAFT COMPANY,560
VH-LFX,FIRESPOTTER 218,Australia,PIPER AIRCRAFT CORP,PA-32-300
