Reg,Callsign,Country,Make,Model
C-GVFK,BOMBER 164,Canada,BRITISH AEROSPACE REGIONAL AIRCRAFT LIMITED,AVRO 146-RJ85
C-GVFT,BOMBER 166,Canada,BRITISH AEROSPACE REGIONAL AIRCRAFT LIMITED,AVRO 146-RJ85
C-FFQE,BOMBER 390,Canada,BOMBARDIER INC,DHC-8-402
C-FFQF,BOMBER 391,Canada,BOMBARDIER INC,DHC-8-402
