Code,Zone,Stations / Localities
{b:MS1},Metropolitan South Zone 1,"Albion Park, Balgownie, Bulli, Coledale, Dapto, Helensburgh, Kiama, Shellharbour, Thirroul, Unanderra, Warrawong, Wollongong"
{b:MS2},Metropolitan South Zone 2,"Arncliffe, Botany, Bundeena, Cronulla, Engadine, Hurstville, Kogarah, Maroubra, Mascot, Matraville, Menai, Miranda, Mortdale, Randwick, Riverwood, Sutherland, Port Botany / Kurnell"
{b:MS3},Metropolitan South Zone 3,"Busby, Camden, Campbelltown, Horningsea Park, Ingleburn, Liverpool, Macquarie Fields, Narellan, Picton, Rosemeadow, St Andrews, Oran Park, Narellan Vale"
