Code,Zone,Stations / Localities
{b:ME1},Metropolitan East Zone 1,"Alexandria, Bondi, City of Sydney, Darlington, Glebe, Pyrmont, Redfern, MLC Centre (City of Sydney East), Woollahra, City of Sydney East"
{b:ME2},Metropolitan East Zone 2,"Avalon Beach, Beecroft, Berowra, Crows Nest, Dee Why, Forestville, Gordon, Hornsby, Lane Cove, Manly, Mona Vale, Mosman, Narrabeen, Neutral Bay"
{b:ME3},Metropolitan East Zone 3,"Ashfield, Balmain, Bankstown, Burwood, Campsie, Chester Hill, Concord, Drummoyne, Lakemba, Leichhardt, Marrickville, Newtown, Revesby, Rhodes area"
