Code,Zone,Stations / Localities
{b:RS1},Regional South Zone 1,"Batemans Bay, Bega, Berry, Bombala, Braidwood, Cooma, Eden, Jindabyne, Merimbula, Moruya, Narooma, Nowra, Perisher Valley, Queanbeyan, Thredbo, Ulladulla, Shoalhaven"
{b:RS2},Regional South Zone 2,"Batlow, Boorowa, Bowral, Bundanoon, Cootamundra, Cowra, Crookwell, Goulburn, Grenfell, Gundagai, Harden, Mittagong, Moss Vale, Tumut, Yass, Young"
{b:RS3},Regional South Zone 3,"Albury Central, Albury Civic, North Albury, Culcairn, Deniliquin, Finley, Henty, Holbrook, Jerilderie, Lockhart, Moama, Mulwala, Tocumwal, Tumbarumba, Turvey Park, Wagga Wagga"
