Code,Zone,Stations / Localities
{b:MN1},Metropolitan North Zone 1,"Belmont, Cardiff, Carrington, Charlestown, Jesmond, Lambton, Mayfield West, Merewether, Minmi, Morisset, Newcastle, Redhead, Salamander Bay, Stockton, Swansea, Tarro, Teralba, Tingira Heights, Toronto, Wallsend, Wangi Wangi, Holmesville"
{b:MN2},Metropolitan North Zone 2,"Bateau Bay, Berkeley Vale, Budgewoi, Doyalson, Gosford, Hamlyn Terrace, Kariong, Ourimbah, Saratoga, Terrigal, The Entrance, Toukley, Umina, Wyoming, Wyong, Kincumber"
{b:MN3},Metropolitan North Zone 3,"Abermain, Bellbird, Branxton / Greta, Cessnock, Dungog, East Maitland, Kearsley, Kurri Kurri, Maitland, Morpeth, Paxton, Raymond Terrace, Rutherford, Salamander Bay, Singleton, Heddon Greta"
