Code,Zone,Stations / Localities
{b:MW1},Metropolitan West Zone 1,"Blacktown, Castle Hill, Cranebrook / Ropes Crossing, Huntingwood, Mount Druitt, Penrith, Regentville, Riverstone"
{b:MW2},Metropolitan West Zone 2,"Bonnyrigg Heights, Cabramatta, Eastwood, Fairfield, Wentworthville, Silverwater, Smithfield, Rydalmere"
{b:MW3},Metropolitan West Zone 3,"Blackheath, Glenbrook, Katoomba, Lawson, Mount Victoria, Richmond, Springwood, Wallerawang, Wentworth Falls, Windsor"
