"TGID","Alias","Description"
"11333","FLEM CIVIL","Flemington Civil"
"11334","INGLBNCIV","Ingleburn Civil"
"11335","FLYINGGANG","Flying Gang"
"11336","STRATHSIG1","Strathfield Signals 1"
"11337","STRATHSIG2","Strathfield Signals 2"
"11338","LIV SIG 1","Liverpool Signals 1"
"11339","LIV SIG 2","Liverpool Signals 2"
"11340","LIV SIG 3","Liverpool Signals 3"
"11341","ELEC MAIN","Electricity Mains"
"11342","EXT PARTY","External Party"
"11343","METSTH HQ","Metro South"
"11344","SUTHO TP","Sutherland"
"11345","WGONG TP","Wollongong"
"11346","KIAMA TP","Kiama"
"11347","THIROULTP","Thirroul"
"11348","PRODUCTN1","Production 1"
"11349","PRODUCTN2","Production 2"
"11350","ROW 1","Right Of Way 1"
"11351","ROW 2","Right Of Way 2"
"11352","SIGS SUTH1","Signals Sutherland 1"
"11353","SIGS SUTH2","Signals Sutherland 2"
"11354","SIGWGONG1","Signals Wollongong 1"
"11355","SIGWGONG2","Signals Wollongong 2"
"11356","SIG SUPPT","Signals Support"
"11357","ELEC 1","Electricity 1"
"11358","ELEC 2","Electricity 2"
"11359","ILLAWARRA","Illawarra"
"11360","CENT CH 8","Central Channel 8"
"11361","CENT CH10","Central Channel 10"
"11362","CENT CH12","Central Channel 12"
"11363","CENT CH13","Central Channel 13"
"11364","TH KX 10","Town Hall/Kings Cross Channel 10"
"11365","TH KX 12","Town Hall/Kings Cross Channel 12"
"11366","WYNYRD 14","Wynyard Channel 14"
"11367","ST JAME 13","St James Channel 13"
"11368","ST JAME 15","St James Channel 15"
"11369","BOND JN 11","Bondi Junction Channel 11"
"11370","MARTN PL12","Martin Place Channel 12"
"11371","MUSEUM 13","Museum Channel 13"
"11372","REDFERN 16","Redfern Channel 16"
"11373","EPP NRYD14","Epping/North Ryde Channel 14"
"11374","MAC UNI 15","Macquarie University Channel 15"
"11375","MAC PARK16","Macquarie Park Channel 16"
