"TGID","Alias","Description"
"11021","-","Sydney South Region"
"11022","-","Sydney West Region"
"11023","-","Sydney North Region"
"11024","-","Northern Region"
"11025","-","Southern Region"
"11026","-","Western Region"
"11027","-","Tactical 1"
"11028","-","Tactical 2"
"11029","-","Tactical 3"
"11030","-","Liaison"
