Unit ID,Tag
2064849,Queanbeyan 56
2064850,Ballina 48
2064852,Nambucca 34
2064855,Edan 56
2064864,NHD 55 Bravo
2064873,Cooranbong 56
2064874,Hunters Hill 57
2064875,Hawkesbury 33
2064878,Coffs Harbour 46
2064882,Wauchope 57
2064885,Cessnock 56
2064889,Camden 36
2064890,Aberdeen
2064891,Gloucester 56
2064894,Campbelltown
2064915,Glen Innes 32
2064925,Grafton 45
2064929,Albury 35
2064944,Port Stephens 49
2064946,Port Stephens 36
2064956,Wauchope 36
2064960,Wingham 36
2064974,Wingham 32
2064976,Taree 57
2064979,Taree 56
2064984,Sutherland 16
2064989,Moree 31
2064992,Kempsey 32
2064998,Muswellbrook 31
2065000,Port Macquarie 32
2065015,Hawkesbury 49
2065039,Wingecarribee 49
2065048,Harrington 32
2065051,Parramatta 18
2065052,Camden Haven B 20
2065062,Wingecarribee 41
2065083,Stroud 31
2065090,Parramatta 56
2065091,Stroud 56
2065102,Cronulla 36
2065126,Metro 56
2065136,Armidale 31
2065140,Armidale 47
2065155,Waverley/Woollahra 33
2065166,MCS 1
2065167,Forster 31
2065173,Batemans Bay 45
2065177,Harrington 32
2065182,Forster-PacificPalms HQ
2065187,Nabiac 56
2065191,Mount Druitt 56
2065196,Wauchope 56
2065198,Kempsey 31
2065199,Cooranbong 31
2065203,Hastings 1
2065204,Sutherland Shire 19
2065206,Highlands 19
2065215,NSWSES 59
2065218,OSU 59
2065222,OSU 59 Echo
2065224,Snowy 42
2065226,Cessnock 31
2065228,Wingecarribee 48
2065231,Queanbeyan 32
2065235,Crookwell 31
2065238,OSU 59 Echo
2065240,OSU 59 Alpha
2065241,OSU 59 Delta
2065346,Bayside 18
2065356,Hawkesbury 49
2065368,Bankstown 56
2069993,Stateops Dispatch
2069994,Stateops Dispatch
2069995,Stateops Dispatch
2069996,Stateops Dispatch
2069997,Stateops Dispatch
