Unit ID,Tag
2007878,Pumper 286 - Eden
2007883,DC - Monaro 1
2007887,Rescue Pumper 395 - Merimbula
2007890,Hazmat 363 - Lithgow
2007896,CFU 4
2007908,Rescue Pumper 068 - Narrabeen
2007911,Aerial Pumper 047 - Revesby
2007916,HP 305 - Goulburn
2007935,DC - North
2007939,Pumper 498 - Holmesville
2007944,STT 81 - Windsor
2007945,Rescue Pumper 075 - Berowra
2007946,Rescue Pumper 445 Bravo - Rutherford
2007952,Pumper 361 - Leura
2007953,Rescue Pumper 015 - Burwood
2007954,Tanker 509 - Wyoming
2007956,CAFS Pumper 031 - Busby
2007958,Tanker 217 - Batemans Bay
2007960,Pumper 468 Alpha - Tweed Head
2007964,Pumper 399 - Narrabri
2007968,Tanker 359 - Lawson
2007970,CAFS Pumper 511 - Yass
2007973,Tanker 251 - Cardiff
2007975,Pumper 284 - Delroy
2007976,Flyer 1 - Sydney City
2007986,Pumper 448 Bravo - South Tamworth
2007987,Aerial Pumper 340 - Umina
2007995,SCV 013 - Alexandria
2008004,Aerial Pumper 097 - Huntingwood
2008007,T 397 Siera - Nambucca Heads
2008010,Pumper 035 - Botany
2008013,Pumper 393 - Merriwa
2008014,DC - Blue Mountains 1
2008016,Tanker 383 - Morisset
2008019,Aerial Pumper 086 - Penrith
2008022,Pumper 280 Bravo - Dubbo
2008026,Runner 1 - City of Sydney
2008029,Pumper 270 - Cowra
2008041,Pumper 429 - Quirindi
2008047,Rescue Pumper 59 - Eastwood
2008049,Tanker 343 - Katoomba
2008050,BFO North
2008054,Pumper 052 - Campsie
2008057,Rescue Pumper 383 - Morisset
2008066,Pumper 448 Alpha - South Tamworth
2008067,Hazmat 488 Bravo - Shellharbour
2008071,Pumper 024 - Manly
2008074,Hazmat 217 - Batemans Bay
2008075,Pumper 012 - Balmain
2008078,Pumper 391 - Murwillumbah
2008084,Tanker 464 - Toronto
2008089,Pumper 257 Bravo - Coffs Harbour
2008092,Hazmat 260 - Newcastle
2008110,Pumper 432 - Raymond Terrace
2008117,Pumper 269 - Corrimal
2008121,Pumper 066 - Rhodes
2008126,Pumper 042 - Ryde
2008127,Pumper 496 - Werris Creek
2008129,Tanker 419 - Peak Hill
2008132,Pumper 384 - Moruya
2008144,Aerial Pumper 340 - Umina
2008146,Pumper 376 - Merewether
2008154,Pumper 401 - Narromine
2008155,CAFS Tanker 448 - South Tamworth
2008158,Aerial Pumper 086 - Penrith
