Unit ID,Tag
2315349,Echo 33
2315350,Car 653
2315351,Inspector 25
2315354,Car 558
2315355,Car 455 - Drummoyne
2315359,Car 360
2315360,Car 365
2315361,Car 361
2315364,Car 5239
2315365,Car 441
2315366,Car 529
2315367,Car 318
2315368,Car 362
2315369,Car 443
2315370,Car 559
2315371,Car 527
2315372,Car 528
2315374,Car 557
2315375,Car 953
2315377,Car 5271
2315378,Car 661
2315382,Car 581
2315384,Car 5232
2315385,Car 330
2315388,SOT 75
2315389,Car 822
2315390,Car 244
2315391,Car 952
2315392,Car 825
2315393,Car 5269
2315394,Car 941
2315396,Car 850
2315397,Car 826
2315398,Car 834
2315400,Northen Beaches Hospital
2315402,Car 5227
2315403,Car 256
2315405,Car 5250
2315406,Car 5228
2315407,Car 302
2315408,Car 306
2315409,Car 782
2315410,Car 334
2315411,Car 340
2315413,ECP 29
2315414,Car 314
2315415,Car 301 - Rutherford
2315416,Car 317
2315417,Car 319
2315418,Car 119
2315420,Car 973
2315422,Car 364
2315423,Inspector 14
2315424,Car 311
2315426,Car 438
2315427,Inspector 17
2315429,Car 986
2315430,Aeromed 92
2315432,Car 518 - Wahroonga
2315433,Car 440
2315434,Car 846
2315435,Car 435
2315436,Car 335
2315437,Car 5240
2315438,Car 851 - Picton
2315440,Car 845
2315443,Car 538
2315446,Car 580
2315447,Car 315
2315448,Car 368
2315449,Car 367
2315450,Car 619
2315452,Car 784
2315455,Car 417
2315456,Car 824
2315461,Car 812 Camden
2315462,Car 308
2315464,Car 457
2315465,Car 808
2315466,Car 521
2315467,Car 548
2315468,Inspector 16
2315469,Car 966
2315470,Car 522
2315471,Car 119 - Point Claire
2315472,Car 439 - Sydney
2315473,Car 338
2315474,Car 418
2315477,Car 313
2315483,Car 842
2315485,Car 307
2315486,Car 5242
2315487,Car 962
2315488,Liverpool Station
2315489,Car 309
2315490,Car 420
2315491,Car 343
2315493,Car 445
2315494,Car 665
2315495,Car 5278
2315498,Car 833
2315499,Car 815
2315500,Car 840
2315502,Car 333
2315503,Car 861
2315507,Car 648
2315510,Car 820
2315511,Car 564
2315512,Inspector 11
2315513,Car 5260
2315514,Car 5256
2315521,Car 802
2315522,Car 974
2315523,Car 326
2315524,Car 260
2315525,Car 5249
2315527,Car 805
2315528,Car 843
2315529,Car 856
2315531,Car 959
2315533,Car 121 - Hamlyn Terrace
2315535,Car 459
2315541,Car 860
2315542,Car 814
2315548,Car 541
2315550,Car 120 - Bulli
2315551,Car 460
2315552,Car 429
2315553,Car 855
2315554,Car 858
2315556,Car 458
2315558,Car 812
2315559,Car 542
2315560,Prince Of Wales Hospital
2315561,Car 531
2315562,Car 532
2315564,Inspector 125
2315574,Car 813
2315576,Inspector 74
2315581,Car 823
2315582,Car 218
2315585,Car 5231
2315586,Car 432
2315587,Car 399
2315588,Car 852 Picton
2315589,SOT 29
2315594,Car 344
2315595,Car 803
2315600,Car 640
2315604,Inspector 37
2315605,Inspector 39
2315607,Car 229
2315608,Car 836
2315609,Car 332
2315610,Car 331
2315611,Car 801
2315612,Car 833
2315617,Car 556
2315618,Car 807
2315621,Bathurst Car 610
2315623,Car 320
2315626,Car 5261
2315634,Bathurst Car 606
2315638,Car 768
2315640,Car 312
2315644,Car 909
2315645,Canowindra Car 617
2315646,Inspector 58
2315647,Car 330
2315649,Car 827
2315650,Car 208 - Bateau Bay
2315651,Inspector 160
2315653,Car 5214
2315654,Car 5219
2315657,Car 355
2315659,Car 359
2315660,Inspector 51
2315661,Inspector 53
2315664,Car 5233
2315666,OPS 96
2315667,Inspector 57
2315668,Inspector 162
2315672,Inspector 54
2315673,Condobolin Car 620
2315675,Car 248
2315681,OPS 92
2315686,Car 837
2315687,ECP 28
2315690,SOT 35
2315691,Inspector 66
2315692,Car 222 - Terrigal
2315693,Car 137
2315694,Tactical 43
2315700,Car 5161
2315702,Car 5276
2315703,Car 5277
2315705,Car 726 - Colyton
2315706,Car 644
2315707,Car 111 - Terrigal
2315708,Car 221
2315710,Car 988
2315712,MOB OPS 90
2315716,Inspector 64
2315718,Car 5234
2315720,SOT 44
2315722,Inspector 165
2315725,Car 293
2315726,Car 5211
2315729,Car 555
2315730,Car 955
2315731,Inspector 12
2315732,Car 550
2315769,SOT 30
2315771,SOT 29
2315777,Rescue 26
2315806,SOT 70
2315810,Rescue 26
2315822,SOT 239
2315823,Rescue 223
2315832,SOT 33
2315836,SOT 38
2315837,SOT 37
2315852,SOT 35
2315859,SOT 29
2315882,SOT 41
2315899,Car 263
2315903,Car 722
2315909,Car 809
2315910,Car 906
2315914,Car 215 - Birmingham
2315919,Car 5289
2315930,Car 434
2315932,Tactical 4
2315935,Parkes Car 694
2315936,Parkes Car 693
2315937,Car 207
2315942,Car 113 - Doyalson
2315943,Car 114 - Doyalson
2315948,SOT 03
2315949,SOP 37
2315951,Car 884
2315953,Car 115 - Point Clare
2315956,Car 717
2315958,Car 644
2315964,Car 298 - Birmingham Gardens
2315965,Car 523
2315970,Car 342
2315974,Car 269 - Rutherford
2315978,Car 295
2315980,Warrawong Station
2315981,Car 316
2315984,Inspector 154
2315996,Inspector 131
2315997,Car 288
2315999,Car 806
2316000,Inspector 112
2316001,Car 556
2316002,Car 314 - Scone
2316003,Car 257
2316004,Car 120 - Morriset
2316005,Car 259
2316008,Newcastle Ops
2316014,Car 294
2316015,Car 470 - Port Macquarie
2316017,Inspector 132
2316018,Car 303 - Singleton
2316022,Car 317 - Murrurundi
2316023,Inspector 124
2316024,Inspector 120
2316030,Walgett Car 754
2316033,Car 273
2316042,Car 356
2316046,Inspector 129
2316048,Car 639
2316049,Car 376
2316052,Parkes Car 690
2316056,Car 775
2316059,Supervisor 21
2316060,Car 514
2316061,Car 270
2316066,Car 635
2316067,Car 310 - Murrurundi
2316068,Car 471 - Port Macquarie
2316072,Car 285
2316076,Aeromed 83
2316079,Car 836
2316081,Car 291 - Gloucester
2316083,Car 274 - Birmingham
2316095,Car 279
2316099,Car 344 - Tea Gardens
2316100,Inspector 143 - Tuncurry
2316105,Inspector 127
2316113,Car 821
2316117,Inspector 144
2316119,Car 276
2316121,Car 804 - Hamilton
2316122,Car 242
2316126,Aeromed 82
2316129,Car 493 - Nelson Bay
2316130,Car 241 - Kurri Kurri
2316135,Retrieval 81
2316137,Car 939
2316139,Car 333 - Dungog
2316147,Car 897
2316148,Car 844
2316149,Car 670
2316151,Car 332 - Dungog
2316157,Inspector 123
2316158,Car 358
2316159,Car 576
2316160,Car 323 - Muswellbrook
2316161,Car 908
2316162,Car 652
2316163,Car 244
2316164,Car 563 - Mclean
2316173,Parkes Car 601
2316177,Inspector 111
2316179,Car 839
2316180,Aeromed 95
2316186,Car 261
2316188,Car  343 - Tea Gardens
2316189,ECP 84
2316191,Car 308
2316198,Rescue 26
2316200,Car 340 - Bulahdelah
2316202,Car 551
2316204,Car 140
2316220,Car 271
2316221,Car 260
2316223,Car 525
2316230,Car 250
2316231,Car 305
2316233,Parkes Car 693
2316237,Car 282
2316238,Car 442
2316242,ECP 85
2316243,Car 322 - Muswellbrook
2316246,Car 321
2316248,Car 118
2316250,Car 470 - Port Macquarie
2316251,Car 706
2316255,Car 254
2316259,Car 306 - Singleton
2316260,Inspector 110
2316268,Car 781
2316270,Car 642
2316273,Car 358 - Tuncurry
2316275,Car 335 - Dungog
2316276,Car 314
2316280,Car 309
2316284,Car 673
2316286,Car 502
2316288,Car 5360
2316292,Car 368 - Taree
2316294,Areomed 31
2316300,Car 549 - Yamba
2316305,Car 337
2316308,Car 217
2316309,Car 830
2316310,Car 277
2316314,Car 405
2316315,Car 297 - Torono
2316316,Car 300
2316317,Car 462
2316318,SOP 40
2316319,Car 453
2316320,Car 367
2316322,Canowindra Car 617
2316328,SOT 38
2316329,Car 366 - Taree
2316331,Car 5288
2316333,Car 352
2316334,Car 240 - Cessnock
2316337,Car 243
2316341,Car 445
2316346,Car 351 - Taree
2316352,Car 354 - Foster
2316354,Car 239
2316355,Car 356
2316356,Car 491 - Laurieton
2316359,Car 372
2316361,Car 238
2316363,Car 446 - Kempsey
2316367,Nyngan Car 747
2316370,Car 130
2316371,Car 492 - Wauchope
2316373,Echo 35
2316374,Gosford Ops
2316376,Car 365
2316377,Car 451 - Laurieton
2316380,Car 206
2316381,Car 212
2316382,Car 211
2316383,Car 378
2316385,Car 805 - Hamilton
2316387,Car 582
2316390,Car 290
2316392,Tottenham Car 749
2316398,Car 446
2316401,Car 831
2316402,Areo 7
2316405,Car 397
2316410,Car 807 - Cardiff
2316411,Car 674
2316412,Car 119 - Wollongong
2316420,PICU 17
2316421,Car 359
2316422,Car 351
2316424,Orange 908
2316428,Car 357 - Forster
2316435,Car 253 - Nelson Bay
2316437,Car 170
2316443,Car 905
2316445,Car 214
2316454,Car 286
2316461,Car 912
2316470,Car 522
2316474,Car 632
2316475,Car 245
2316476,Car 917
2316477,Car 299
2316478,Car 989
2316479,Car 275
2316480,Car 213
2316481,Car 246
2316484,Car 247
2316485,Car 577
2316487,PICU 18
2316489,Car 280
2316497,Car 252
2316508,Car 805
2316519,Car 247
2316522,Car 767
2316524,Walgett 756
2316525,Car 704
2316535,Car 125 - Port Macquarie
2316539,Car 281 - Stockton
2316541,Car 671
2316543,Car 267
2316545,Car 902
2316546,Car 672
2316550,Areomed 993
2316552,Car 901
2316553,Aeromed 93
2316556,Car 837
2316558,Car 262
2316559,Car 838
2316560,Car 249
2316563,Wahroonga Station
2316566,Rescue 223
2316567,Car 572
2316569,Car 210
2316574,Car 272
2316576,Car 125
2316588,Ryde Station
2316593,Car 668
2316594,Car 546
2316595,Car 268
2316598,Aeromed 94
2316601,Car 547
2316606,Car 268
2316607,Car 304
2316611,Car 641
2316617,Car 959
2316637,Car 5288
2316645,Car 289 - Hamilton
2316661,Hamlyn Terrace Station
2316664,Toukley Station
2316667,Car 289 - Hamilton
2316668,Car 784
2316674,Car 5287
2316676,Car 911
2316685,Car 812
2316688,Car 139 - Oak Flats
2316690,Bathurst Car 611
2316692,Car 831
2316694,Car 437
2316696,Car 352
2316699,ECP 76
2316701,Car 296
2316703,Car 5224
2316710,Car 304
2316713,Rutherford Station
2316714,Inspector 128
2316716,Car 5257
2316717,Cowra Rescue 625
2316719,Car 247
2316720,Car 5229
2316722,Penrith Station
2316736,Grenfell Station
2316742,Car 913
2316743,Car 915
2316744,Car 914
2316745,Car 712
2316746,Car 904
2316747,Car 715
2316755,Supervisor 10
2316773,Car 866
2316774,Car 359
2316788,Birmingham Gardens Station
2316794,Cowra Station
2316809,Car 328
2316811,Car 816
2316813,Car 914 - Taree
2316815,ECP 58
2316821,Careflight 3
2316827,ECP 59
2316828,Car 236
2316829,ECP 82
2316831,Car 327
2316832,Car 918 - Tuncurry
2316837,Car 209 - Bateau Bay
2316838,Doyalson Stn
2316839,Car 217
2316841,Morisset Station
2316843,Car 111 - Terrigal
2316845,Wyong Station
2316850,Mona Vale Station
2316853,Car 917
2316864,St Ives Station
2316867,Car 618
2316868,Car 675
2316870,Marrickville Station
2316871,Car 441
2316873,Car 420
2316875,Bowral Station
2316882,Bankstown Station
2316883,Car 819
2316889,Car 300
2316890,Car 392
2316897,Car 308
2316898,Car 319
2316902,Car 365
2316965,Wollongong Station
2316975,Cobar Station
2316988,Lithgow Car 664
2316994,Orange Car 682
2316995,Parkes Station
2316997,Rylstone Station
2316999,Walgett Station
2317007,Beresfield Station
2317009,Hornsby Hospital
2317011,Boolaroo Station
2317013,Cardiff Station
2317014,Cessnock Station
2317020,Hamilton Station
2317022,Taree Station
2317028,Muswellbrook Station
2317030,Nelson Bay Station
2317032,Raymond Terrace Station
2317033,Haberfield Station
2317035,Singleton Station
2317036,Stockton Station
2317040,Tanilba Bay Station
2317043,Toronto Station
2317058,John Hunter Hospital
2317066,Port Macquarie Station
2317068,Concord Hospital
2317070,Taree Station
2317075,Wauchope Station
2317082,Campbeltown Hospital
2317091,Gosford Hospital
2317094,Nepean Hospital
2317104,Blacktown Hospital
2317107,CareFlight 3
2317108,Ambulance 223
2317116,Northern - Gosford Ops
2317122,Maitland Hospital
2317129,Sydney Ops
2317130,Northern - Hunter Ops
2317137,Car 995
2317140,Ambulance 246
2317141,Ambulance 232
2317168,Wyong Hospital
2317172,Wyong Hospital
2317174,Northern - Newcastle Ops
2317177,Forster Station
2317187,Car 222 - Terrigal
2317193,Ambulance 246
2317194,Areo Medical Control
2317195,Westpac 2 - Lismore
2319713,Sydney Far South West Comms
2319714,Sydney South West Comms
2319717,Far West Ops
2319719,Gosford Ops Comms
2319720,West  Comms
2319721,West Ops Comms
2319722,Sydney North Comms
2319723,Sydney North Comms
2319726,Sydney Comms
2319730,Car 457
2319732,Sydney South Ops
2319733,Sydney Central Comms
2319735,Sydney East Ops
2319802,North Ops
2319803,Northern - Newcastle Ops
2319804,Northern - Gosford Ops
2319805,Northern - Hunter Ops
2319806,Northern - Newcastle Ops
2319807,Gosford Ops
2319808,Newcastle Ops
2319809,Car 230
2319810,Newcastle Ops
2319821,Northern - Gosford Ops
2319824,Sydney - South West Ops
2319826,Sydney - North Ops
2319827,Sydney - South Ops
2319828,Sydney - Far South West Ops
2319829,Sydney - Far South West Ops
2319830,Sydney - West Ops
2319831,Sydney - East Ops
2319833,Aero Medical Control
2319834,Aero Medical Control
2319851,Southern - Illawarra Ops
2319853,Wagga Wagga Ops
2319873,Western - Mid West Ops
2320129,Toronto Station
2320143,Car 244
2320147,Beresfield Station
2320148,PICU 18
2320155,Cardiff Station
2320161,Raymond Terrace Station
2320173,Car 252
2320177,Car 241
2320180,Cessnock Station
2320189,Stockton Station
2320192,Car 264
2320201,Hamlyn Terrace Station
2320261,Hospital - John Hunter
2320286,Cycle 3
2320995,Car 19
2321013,Car 128
2321042,Car 969 - South Hurstville
2321080,Car 126
2321195,Car 582
2321199,Car 290
2321211,Car 438
2321236,Car 705
2321295,Car 655
2321300,Car 354
2321305,Car 546
2321374,Car 373
2321381,Car 359
2321388,ECP 86
2324002,Bathurst Car 606
2324004,Car 204
2324005,Car 909
2324007,Car 256
2324010,Car 255
2324014,Car 201
2324015,Car 202
2324016,Car 208
2324037,Car 219
2324038,Car 294
2324040,Car 5263
2324044,Car 172
2324047,Car 219
2324053,Car 233
2324054,Car 117
2324057,Car 233
2324059,Car 217
2324061,Car 218
2324070,Car 5224
2324074,Car 917
2324078,Car 218
2324080,Car 674
2324082,Car 335 - Dungog
2324086,Car 216
2324098,Car 296
2324103,Car 525
2324116,Car 117
2324126,Car 216
2324129,Car 225
2324131,Inspector 14
2324142,Car 234
2324153,Car 234
2324161,Car 224
2324162,Car 225
2324163,Car 224
2324169,Car 223
2324170,Car 5236
2324186,Car 718 - Sydney
2324189,Car 137
2324195,Parkes Car 693
2324198,Car 613
2324202,Car 988
2324204,Car 5276
2324207,Car 222
2324214,Car 227
2324215,Car 227
2324224,Car 750
2324232,Car 223
2324236,Parkes Car 691
2324237,Blayney Car 613
2324253,Inspector 16
2324261,Car 245 - Belmont
2324262,Car 213
2324263,Car 532
2324270,Car 712
2324271,Inspector 66
2324272,Car 116
2324299,Forbes Car 644
2324337,Car 221
2324357,Car 5232
2324363,Car 201
2324373,Inspector 65
2324387,Car 111 - Terrigal
2324388,Car 222
2324395,Orange Landcruiser 683
2324396,Car 219
2324407,Car 806 - Cardiff
2324429,Car 204
2324432,Car 255
2324445,Car 5261
2324455,Car 221
2324456,Car 344 - Tea Gardens
2324457,Car 292
2324458,Car 205 - Point Claire
2324459,Car 205 - Point Claire
2324465,Peak Hill 565
2324501,Car 203
2324510,Car 256
2324512,Car 203
2324515,Car 202
2324541,Car 340 - Bulahdelah
2324542,Car 342
2324543,Inspector 123
2324553,Car 768
2324567,Car 273
2324569,Car 274
2324593,Inspector 12
2324596,Car 247
2324608,Car 245
2324610,Car 290
2324626,Car 141
2324633,Inspector 31
2324647,Car 978
2324670,Car 961
2324687,Inspector 129
2324690,Car 5274
2324693,Inspector 132
2324694,Inspector 128
2324698,Inspector 131
2324711,Car 112 - Ettalong
2324715,Car 5243
2324725,Car 118 - Bateau Bay
2324726,Car 5257
2324731,Cobar Car 719
2324734,Car 112 - Ettalong
2324743,Car 962
2324749,Car 209
2324750,Car 207
2324751,Car 207
2324754,Car 5220
2324758,Car 5274
2324761,Car 5253
2324763,Car 5243
2324772,Car 973
2324781,Blayney Car 614
2324783,Car 272
2324789,Car 239
2324803,Car 208
2324827,Orange Car 678
2324840,Car 209
2324845,Orange Car 681
2324860,Car 250
2324863,Car 215
2324866,Car 212 - Birmingham Gardens
2324870,Car 259
2324894,Inspector 11
2324896,Inspector 17
2324898,Car 5271
2324906,Car 5269
2324908,Inspector 15
2324913,Car 5249
2324916,Car 214
2324945,Car 912 - Port Macquarie
2324956,Car 5115
2324964,Car 564
2324965,Inspector 37
2324966,Car 520
2324967,Inspector 51
2324968,Car 555
2324971,Inspector 52
2324975,Car 418
2324977,ECP 46
2324978,ECP 45
2324982,ECP 22
2324990,Car 565
2324995,Car 284
2324999,Car 564
2325003,Car 557
2325006,Car 941
2325007,Car 557
2325008,Car 550
2325018,Car 966
2325019,Car 966
2325034,Car 521
2325036,Car 451 - Laurieton
2325042,Inspector 57
2325045,Inspector 39
2325046,Car 520
2325050,Inspector 55
2325052,Car 518
2325055,Car 522
2325056,Car 518
2325081,Car 342
2325086,Car 548
2325087,Car 440
2325095,Car 439
2325110,Car 556
2325111,Car 556
2325130,Car 559
2325131,Car 559
2325138,Car 319 - Castle Hill
2325141,Car 558
2325143,Car 558
2325147,Car 986
2325151,Car 315
2325155,Car 319 - Castle Hill
2325161,Car 422
2325170,Car 541
2325173,Car 416
2325181,Inspector 45
2325183,Inspector 56
2325190,Responder 13
2325198,Car 457
2325203,Car 660
2325206,Car 663
2325218,Car 645
2325223,Car 402
2325229,Car 519
2325231,Car 298 - Birmingham Gardens
2325232,Car 821
2325234,Car 359 - Tuncurry
2325241,Bathurst Car 611
2325246,Inspector 14
2325249,Car 437
2325251,Randwick Childrens Hospital
2325285,Car 950
2325326,Car 439 - Sydney
2325345,Car 254
2325361,Car 300 - Cessnock
2325384,Car 295 - Rutherford
2325386,Car 249
2325390,Car 115 - Point Clare
2325391,Car 114 - Hamlyn Terrace
2325395,Car 114 - Hamlyn Terrace
2325397,Car 113 - Doyalson
2325399,Car 115 - Point Clare
2325400,Car 113
