Unit ID,Tag
2012297,Culburra Beach PC
2012298,Kioloa Cat 1
2012299,Corrowong Cat 1
2012300,Cudmirrah-Berrara Cat 2
2012301,SUSSEX INLET PUMPER
2012307,Cudmirrah-Berrara Cat 7
2012308,Shoalhaven Group 6
2012309,Shoalhaven Command November
2012311,Shoalhaven Bus Alpha
2012312,Shoalhaven Group 3
2012313,Shoalhaven Group 1
2012314,West Nowra PC
2012402,Clandulla Cat 7
2012403,Bylong Cat 9
2012404,Cooks Gap Cat 7 Charlie
2012408,Ilford Cat 2
2012410,Clandulla Cat 1
2012411,Cudgegong Cat 16 Charlie
2012415,RUNNING STREAM Cat 7
2012419,Central Coast Group 3
2012421,Cudgegong Command Delta
2012423,Rylstone Cat 7
2012424,Gulgong Cat 1
2012427,Gulgong Cat 9
2012428,Cudgegong Command Hotel
2012429,Cudgegong Cat 16 Alpha
2012431,Rylstone Cat 9
2012433,RYLSTONE Cat 1
2012434,Central Coast Group 2
2012441,Gulgong Cat 7 Alpha
2012450,Gulgong Pumper
2012455,Gulgong Cat 7 Bravo
2012456,Cudgegong Group 5
2012459,Cooks Gap Cat 7 Charlie
2012462,Cooyal Cat 7 Bravo
2012464,Goolma Cat 9
2012466,Munmurra Cat 7 Bravo
2012467,Ilford Cat 7
2012468,CLANDULLA Cat 9
2012469,MUDGEE Cat 1
2012471,Cooyal Cat 1
2012474,Cooks Gap Cat 7
2012480,Cudgegong Duty
2012484,ERSKINE PARK Cat 1 ALPHA
2012485,CUMBERLAND SUPPORT ZULU
2012487,Londonderry Cat 9
2012488,REGENTVILLE PC
2012490,Cumberland Group 3
2012581,Firecomms - State Mitigation Comms
2012656,Hornsby Catering Station
2012723,Northern Beaches Headquaters 1
2012890,Kenthurst Station
2012903,Erina Station
2012905,Hornsby Group 5
2012907,Firecomms - State Op
2012908,Firecomms - Hornsby
2012967,HeliTac 253
2013197,Heli Tac 201
2013327,Firecomms - Hornsby
2013347,Lower Hunter Comms
2013416,Hornsby Group 1
2013419,Firecomms - Hornsby
2013420,Hornsby Group
