"TGID","Alias","Description"
"30008","228 MIA B","Murrumbidgee Irrigation Area B"
"30009","129 MONARO A","Monaro A"
"30010","1205 AREA SE","Area South East"
"30011","137 RVHLD A","Riverina Highlands A"
"30012","138 RVRNA A","Riverina A"
"30013","139 SHOAL A","Shoalhaven A"
"30014","1206 AREA SW","Area South West"
"30015","144 SWS A","South Western Slopes A"
"30016","142 STHTB A","Southern Tablelands A"
"30017","141 STHHG A","Southern Highlands A"
"30024","1251 SMSS 5","State Mitigation & Support 5"
"30025","1252 SMSS 6","State Mitigation & Support 6"
"30026","1229 DISP 8","Dispatch Operations 8"
"30027","319 OPS 19","Operations 19"
"30028","320 OPS 20","Operations 20"
"30050","202 BLTEM B","Bland/Temora B"
"30051","201 BLMTN B","Blue Mountains B"
"30052","203 CANOB B","Canobolas B"
"30053","210 CSTLR B","Castlereagh B"
"30055","207 CLVLY B","Clarence Valley B"
"30056","209 COFFS B","Coffs Coast B"
"30057","204 CDGNG B","Cudgegong B"
"30058","208 CMBLD B","Cumberland B"
"30059","212 FNC B","Far North Coast B"
"30060","213 FSC B","Far South Coast B"
"30061","217 HWKSB B","Hawkesbury B"
"30062","215 HNSBY B","Hornsby B"
"30063","216 HUNTV B","Hunter Valley B"
"30064","218 ILLAW B","Illawarra B"
"30065","219 LAKGE B","Lake George B"
"30066","221 LVPLR B","Liverpool Range B"
"30068","220 LNC B","Lower North Coast B"
"30069","223 LWWST B","Lower Western B"
"30070","224 MCTHR B","Macarthur B"
"30071","226 MDLCH B","Mid Lachlan B"
"30072","227 MDMRY B","Mid Murray B"
"30073","229 MONARO B","Monaro B"
"30074","230 NAMGW B","Namoi/Gwydir B"
"30075","235 NWENG B","New England B"
"30076","231 NBCHS B","Northern Beaches B"
"30077","232 NTHRS B","Northern Rivers B"
"30078","233 NTHTB B","Northern Tablelands B"
"30079","234 NTHWST B","North West B"
"30080","236 ORANA B","Orana B"
"30081","238 RVRNA B","Riverina B"
"30082","237 RVHLD B","Riverina Highlands B"
"30083","239 SHOAL B","Shoalhaven B"
"30084","240 STHBD B","Southern Border B"
"30085","242 STHTB B","Southern Tablelands B"
"30086","244 SWS B","South Western Slopes B"
"30087","243 SUTHE B","Sutherland B"
"30088","245 TAMWTH B","Tamworth B"
"30089","214 HILLS B","The Hills B"
"30090","222 LWHUN B","Lower Hunter B"
"30091","1216 BIA 2","Building Impact Assessment 2"
"30092","1217 BIA 3","Building Impact Assessment 3"
"30093","(ENC)","(RFS Encrypted Channel)"
