Zone ID,Zone,Districts,Channel
5,Lower North Coast,"Kempsey, Nambucca",LNC A+B
13,Mid Coast,"Lord Howe Island, Mid-Coast, Hastings",MDCST A+B
14,Lower Hunter,"Cessnock, Dungog, Maitland, Port Stephens",LWHUN A+B
15,Hunter Valley,"Muswellbrook, Singleton",HUNTV A+B
16,Central Coast,"Central Coast, Lake Macquarie",CENCO A+B
