Zone ID,Zone,Districts,Channel
27,Shoalhaven,Shoalhaven,SHOAL A+B
28,Far South Coast,"Bega Valley, Eurobodalla",FSC A+B
29,Southern Tablelands,"Goulburn Mulwaree, Upper Lachlan, Yass Valley",STHTB A+B
30,Lake George,Queanbeyan-Palerang,LAKGE A+B
31,Monaro,Snowy Monaro,MONARO A+B
32,Riverina Highlands,Snowy Valleys,RVHLD A+B
