Zone ID,Zone,Districts,Channel
33,Bland Temora,"Bland, Temora",BLTEM A+B
34,Riverina,"Coolamon, Junee, Lockhart, Wagga Wagga",RVRNA A+B
35,Southern Border,"Albury, Berrigan, Federation, Greater Hume",STHBD A+B
36,MIA,"Carrathool, Griffith, Hay, Leeton, Narrandera",MIA A+B
37,Mid Murray,"Edward River, Murray River, Murrumbidgee",MDMRY A+B
38,Lower Western,"Balranald, Wentworth",LWWST A+B
