id,address,alias,agency,icon,color,pluginconf,ignore
877,1310400,Lower Hunter Group 5,RFS,fire-alt,orange,{},0
878,1310408,Lower Hunter Deputy Group 5,RFS,fire-alt,orange,{},0
879,1310416,Lower Hunter Group 6,RFS,fire-alt,orange,{},0
880,1310424,Lower Hunter Deputy Group 6,RFS,fire-alt,orange,{},0
881,1310432,Lower Hunter Group 7,RFS,fire-alt,orange,{},0
882,1310440,Lower Hunter Deputy Group 7,RFS,fire-alt,orange,{},0
883,1310448,Lower Hunter Group 6,RFS,fire-alt,orange,{},0
884,1310456,Lower Hunter Deputy Group 6,RFS,fire-alt,orange,{},0
885,1310488,Lower Hunter - Bucketty Brigade Captain,RFS,fire-alt,orange,{},0
886,1310496,Lower Hunter - Unknown??,RFS,fire-alt,orange,{},0
887,1310504,Lower Hunter - Greta Brigade Captain,RFS,fire-alt,orange,{},0
888,1310528,Lower Hunter - Lochinvar Brigade Captain,RFS,fire-alt,orange,{},0
889,1310544,Lower Hunter - East Maitland Brigade Captain,RFS,fire-alt,orange,{},0
890,1310600,Lower Hunter - Millfield Brigade Captain,RFS,fire-alt,orange,{},0
891,1310608,Lower Hunter - Mulbring Brigade Captain,RFS,fire-alt,orange,{},0
892,1310616,Lower Hunter - Neath Brigade Captain,RFS,fire-alt,orange,{},0
893,1310632,Lower Hunter - Pokolbin Brigade Captain,RFS,fire-alt,orange,{},0
894,1310640,Lower Hunter - Quorrobolong Brigade Captain,RFS,fire-alt,orange,{},0
895,1310760,Lower Hunter - Cessnock Catering Support Unit Captain,RFS,fire-alt,orange,{},0
896,1370008,Northern Beaches Broadcast Message,RFS,fire-alt,orange,{},0
897,1370016,Northern Beaches Captains,RFS,fire-alt,orange,{},0
1143,1370024,Northern Beaches - Unknown??,RFS,fire-alt,orange,{},0
898,1370056,Northern Beaches - Beacon Hill Brigade Captain,RFS,fire-alt,orange,{},0
899,1370064,Northern Beaches - Belrose Brigade Captain,RFS,fire-alt,orange,{},0
900,1370080,Northern Beaches Comms Support Unit Captain,RFS,fire-alt,orange,{},0
901,1370088,Northern Beaches Catering Support Unit Captain,RFS,fire-alt,orange,{},0
902,1370096,Northern Beaches - Coal & Candle Brigade Captain,RFS,fire-alt,orange,{},0
903,1370104,Northern Beaches - Cottage Point Brigade Captain,RFS,fire-alt,orange,{},0
904,1370112,Northern Beaches - Davidson Brigade Captain,RFS,fire-alt,orange,{},0
905,1370120,Northern Beaches - Duffys Forest Brigade Captain,RFS,fire-alt,orange,{},0
906,1370136,Northern Beaches - Ingleside Brigade Captain,RFS,fire-alt,orange,{},0
907,1370144,Northern Beaches - Mackeral Beach Brigade Captain,RFS,fire-alt,orange,{},0
908,1370152,Northern Beaches - Scotland Island Brigade Captain,RFS,fire-alt,orange,{},0
909,1370160,Northern Beaches - Terrey Hills Brigade Captain,RFS,fire-alt,orange,{},0
910,1370168,Northern Beaches - Tumbledown Dick Brigade Captain,RFS,fire-alt,orange,{},0
911,1370176,Northern Beaches - West Pittwater Captain,RFS,fire-alt,orange,{},0
912,1370192,Northern Beaches Group 1,RFS,fire-alt,orange,{},0
913,1370200,Northern Beaches Group 2,RFS,fire-alt,orange,{},0
914,1370208,Northern Beaches Group 3,RFS,fire-alt,orange,{},0
915,1370240,Northern Beaches FCO 1,RFS,fire-alt,orange,{},0
916,1370304,Northern Beaches FCO 2,RFS,fire-alt,orange,{},0
917,1370312,Northern Beaches - Beacon Hill Brigade,RFS,fire-alt,orange,{},0
918,1370320,Northern Beaches - Belrose Brigade,RFS,fire-alt,orange,{},0
919,1370328,Northern Beaches - Coasters Retreat Brigade,RFS,fire-alt,orange,{},0
920,1370336,Northern Beaches Comms Support Unit,RFS,fire-alt,orange,{},0
921,1370344,Northern Beaches Catering Support Unit,RFS,fire-alt,orange,{},0
922,1370352,Northern Beaches - Coal & Candle Brigade,RFS,fire-alt,orange,{},0
923,1370360,Northern Beaches - Cottage Point Brigade,RFS,fire-alt,orange,{},0
924,1370368,Northern Beaches - Davidson Brigade,RFS,fire-alt,orange,{},0
925,1370376,Northern Beaches - Duffys Forest Brigade,RFS,fire-alt,orange,{},0
926,1370392,Northern Beaches - Ingleside Brigade,RFS,fire-alt,orange,{},0
927,1370400,Northern Beaches - Mackeral Beach Brigade,RFS,fire-alt,orange,{},0
928,1370408,Northern Beaches - Scotland Island Brigade,RFS,fire-alt,orange,{},0
929,1370416,Northern Beaches - Terry Hills Brigade,RFS,fire-alt,orange,{},0
930,1370424,Northern Beaches - Tumbledown Dick Brigade,RFS,fire-alt,orange,{},0
931,1370432,Northern Beaches - West Pittwater Brigade,RFS,fire-alt,orange,{},0
932,1370440,Northern Beaches Flyer,RFS,fire-alt,orange,{},0
933,1370456,Northern Beaches Duty Group,RFS,fire-alt,orange,{},0
934,1370472,Northern Beaches Support Brigade,RFS,fire-alt,orange,{},0
935,1370480,Northern Beaches Support Captain,RFS,fire-alt,orange,{},0
936,1370696,Northern Beaches FCO 5,RFS,fire-alt,orange,{},0
937,1370704,Northern Beaches Duty Officer,RFS,fire-alt,orange,{},0
938,1370736,Northern Beaches Community First responders,RFS,fire-alt,orange,{},0
939,1370744,Northern Beaches FCO 4,RFS,fire-alt,orange,{},0
940,1370752,Northern Beaches OP Support 21,RFS,fire-alt,orange,{},0
941,1380056,Mid Lachlan Valley - Bonnievale/Martins Lane Brigade,RFS,fire-alt,orange,{},0
942,1380064,Mid Lachlan Valley - Unknown??,RFS,fire-alt,orange,{},0
943,1380144,Mid Lachlan Valley - Bonnievale/Martins Lane Brigade,RFS,fire-alt,orange,{},0
944,1380200,Mid Lachlan Valley - Unknown??,RFS,fire-alt,orange,{},0
945,1389008,Mid Lachlan Valley - Grenfell Brigade,RFS,fire-alt,orange,{},0
946,1390136,Orana - Mt Arthur Brigade,RFS,fire-alt,orange,{},0
947,1390144,Orana - Unknown??,RFS,fire-alt,orange,{},0
948,1390200,Orana - Unknown??,RFS,fire-alt,orange,{},0
949,1390256,Orana - Euchareena Brigade,RFS,fire-alt,orange,{},0
950,1390312,Orana - Mt Arthur Brigade,RFS,fire-alt,orange,{},0
951,1390320,Orana - Mumbil Brigade,RFS,fire-alt,orange,{},0
952,1390344,Orana - Stuart Town Brigade,RFS,fire-alt,orange,{},0
953,1390360,Orana - Unknown??,RFS,fire-alt,orange,{},0
954,1399000,Orana - Unknown??,RFS,fire-alt,orange,{},0
955,1410016,Unknown??,RFS,fire-alt,orange,{},0
956,1410056,Illawarra - Helensburgh Brigade,RFS,fire-alt,orange,{},0
957,1410064,Illawarra - Otford Brigade,RFS,fire-alt,orange,{},0
958,1410072,Illawarra - Darkes Forest Brigade,RFS,fire-alt,orange,{},0
959,1410080,Illawarra - Stanwell Park Brigade,RFS,fire-alt,orange,{},0
960,1410088,Illawarra - Bulli Brigade,RFS,fire-alt,orange,{},0
961,1410096,Illawarra - Austinmer Brigade,RFS,fire-alt,orange,{},0
962,1410104,Illawarra - Dapto Brigade,RFS,fire-alt,orange,{},0
963,1410112,Illawarra - Mt Kembla Brigade,RFS,fire-alt,orange,{},0
964,1410120,Illawarra - Mt Keira Brigade,RFS,fire-alt,orange,{},0
965,1410128,Illawarra - Farmborough Heights Brigade,RFS,fire-alt,orange,{},0
966,1410344,Illawarra Support Brigade,RFS,fire-alt,orange,{},0
